"","Zipcode","AGI_bin","Returns","AGI","Tot_income","mean_agi","mean_total"
"982",10567,"",9880,1155513,1170996,116.95475708502,118.521862348178
"990",10570,"",6100,1319349,1343266,216.286721311475,220.207540983607
"998",10573,"",18960,2009731,2040357,105.998470464135,107.613765822785
"1006",10576,"",2470,766892,781904,310.482591093117,316.56032388664
"1014",10577,"",1550,1373893,1385843,886.382580645161,894.092258064516
"1022",10578,"",430,43916,44409,102.13023255814,103.276744186047
"1030",10579,"",4400,474998,480527,107.954090909091,109.210681818182
"1038",10580,"",8240,5376117,5433326,652.441383495146,659.384223300971
"1046",10583,"",18920,10335498,10474949,546.273678646935,553.644238900634
"1054",10588,"",1360,128381,130153,94.3977941176471,95.7007352941176
"1062",10589,"",4630,615300,622109,132.894168466523,134.364794816415
"1070",10590,"",3200,582347,595528,181.9834375,186.1025
"1078",10591,"",12080,1715248,1738496,141.990728476821,143.915231788079
"1086",10594,"",2570,339968,344037,132.28326848249,133.866536964981
"1094",10595,"",3330,501425,505941,150.578078078078,151.934234234234
"1102",10597,"",480,178155,181189,371.15625,377.477083333333
"1110",10598,"",14660,1788057,1810382,121.968417462483,123.491268758527
"1118",10601,"",6160,1064627,1081668,172.829058441558,175.595454545455
"1126",10603,"",10040,877388,886374,87.3892430278884,88.2842629482072
"1134",10604,"",5750,842515,856000,146.524347826087,148.869565217391
"1142",10605,"",10210,1661610,1690155,162.743388834476,165.539177277179
"1150",10606,"",8490,787811,798308,92.7928150765607,94.029210836278
"1158",10607,"",4060,431010,435277,106.160098522167,107.211083743842
"1166",10701,"",29840,1567373,1581799,52.5259048257373,53.0093498659517
"1174",10703,"",10930,631071,635666,57.7375114364135,58.1579139981702
"1182",10704,"",17300,1182860,1191564,68.3734104046243,68.8765317919075
"1190",10705,"",18880,1009714,1018149,53.4806144067797,53.9273834745763
"1198",10706,"",4520,884771,902371,195.745796460177,199.639601769912
"1206",10707,"",5240,664463,673761,126.805916030534,128.58034351145
"1214",10708,"",11510,3453247,3496587,300.021459600347,303.786880973067
"1222",10709,"",4920,746874,756621,151.803658536585,153.784756097561
"1230",10710,"",14110,1191654,1202159,84.4545712260808,85.1990786676116
"1238",10801,"",18810,1412306,1426571,75.0827219564062,75.8410951621478
"1246",10803,"",6170,1583488,1612738,256.643111831442,261.38379254457
"1254",10804,"",7170,1772308,1809759,247.183821478382,252.407112970711
"1262",10805,"",9250,700622,708022,75.7429189189189,76.5429189189189
"1270",10901,"",11290,1388656,1408219,122.99875996457,124.731532329495
"1278",10913,"",2630,406463,410844,154.548669201521,156.214448669202
"1286",10916,"",2230,231611,234734,103.861434977578,105.261883408072
"1294",10917,"",1060,95714,96935,90.2962264150943,91.4481132075472
"1302",10918,"",5820,511727,516679,87.9256013745704,88.7764604810997
"1310",10919,"",600,45294,45722,75.49,76.2033333333333
"1318",10920,"",4620,438738,442924,94.9649350649351,95.8709956709957
"1326",10921,"",2250,178736,180667,79.4382222222222,80.2964444444444
"1334",10923,"",4980,342379,344633,68.7508032128514,69.2034136546185
"1342",10924,"",6400,653520,663445,102.1125,103.66328125
"1350",10925,"",2500,201471,203341,80.5884,81.3364
"1358",10926,"",1950,154920,156493,79.4461538461538,80.2528205128205
"1366",10927,"",6180,270726,273038,43.8067961165049,44.1809061488673
"1374",10928,"",2260,128691,129559,56.9429203539823,57.3269911504425
"1382",10930,"",4410,409861,414091,92.9390022675737,93.8981859410431
"1390",10940,"",25110,1419464,1429756,56.5298287534847,56.9397052966945
"1398",10941,"",7350,477012,481079,64.8995918367347,65.452925170068
"1406",10950,"",18130,1420887,1437338,78.3721456150028,79.2795366795367
"1414",10952,"",12660,1411868,1435304,111.52195892575,113.373143759874
"1422",10954,"",12540,1085407,1095506,86.5555821371611,87.3609250398724
"1430",10956,"",16050,2017889,2047251,125.725171339564,127.554579439252
"1438",10958,"",1650,142360,143727,86.2787878787879,87.1072727272727
"1446",10960,"",7730,922279,939183,119.311642949547,121.498447606727
"1454",10962,"",2670,338505,341749,126.780898876404,127.995880149813
"1462",10963,"",1240,86852,87496,70.041935483871,70.5612903225806
"1470",10964,"",740,197361,200258,266.704054054054,270.618918918919
"1478",10965,"",7880,853420,860789,108.302030456853,109.237182741117
"1486",10968,"",1260,199887,204816,158.640476190476,162.552380952381
"1494",10969,"",630,47920,48406,76.0634920634921,76.8349206349206
"1502",10970,"",5380,465202,470210,86.4687732342007,87.3996282527881
"1510",10973,"",1170,92704,93756,79.234188034188,80.1333333333333
"1518",10974,"",1570,149054,150280,94.9388535031847,95.7197452229299
"1526",10975,"",160,10760,10796,67.25,67.475
"1534",10976,"",850,66759,67156,78.54,79.0070588235294
"1542",10977,"",24270,1466145,1482720,60.4097651421508,61.0927070457355
"1550",10980,"",7230,646667,652238,89.4421853388658,90.212724757953
"1558",10983,"",3020,345988,349151,114.565562913907,115.612913907285
"1566",10984,"",1350,116756,117542,86.4859259259259,87.0681481481482
"1574",10985,"",160,10381,10486,64.88125,65.5375
"1582",10986,"",980,95892,96653,97.8489795918367,98.6255102040816
"1590",10987,"",1900,308184,312106,162.202105263158,164.266315789474
"1598",10989,"",4940,488080,493701,98.8016194331984,99.9394736842105
"1606",10990,"",9870,1047471,1061168,106.126747720365,107.514488348531
"1614",10992,"",4840,399317,402471,82.5035123966942,83.1551652892562
"1622",10993,"",2630,127250,127966,48.384030418251,48.6562737642586
"1630",10994,"",3880,530754,538158,136.792268041237,138.700515463918
"1638",10996,"",1200,93881,94358,78.2341666666667,78.6316666666667
"1646",10998,"",1630,136258,137851,83.5938650306748,84.5711656441718
"1654",11001,"",14080,1365557,1379841,96.9855823863636,98.0000710227273
"1662",11003,"",24230,1382727,1391710,57.0667354519191,57.4374742055303
"1670",11004,"",6830,497011,501039,72.7688140556369,73.3585651537335
"1678",11005,"",1480,270591,272725,182.831756756757,184.273648648649
"1686",11010,"",12900,1046621,1055923,81.1334108527132,81.854496124031
"1694",11020,"",3090,623315,634070,201.720064724919,205.200647249191
"1702",11021,"",9330,1853078,1888170,198.615005359057,202.376205787781
"1710",11023,"",4110,812501,829030,197.688807785888,201.710462287105
"1718",11024,"",3200,1434238,1449340,448.199375,452.91875
"1726",11030,"",8750,3546763,3602731,405.344342857143,411.740685714286
"1734",11040,"",21860,2402252,2428140,109.892589204026,111.076852698994
"1742",11050,"",15330,3381745,3441352,220.59654272668,224.484801043705
"1750",11096,"",3980,181596,183478,45.627135678392,46.1
"1758",11101,"",23190,2273198,2295744,98.0249245364381,98.9971539456662
"1766",11102,"",19580,1225616,1237806,62.5953013278856,63.2178753830439
"1774",11103,"",20950,1269650,1284123,60.6038186157518,61.2946539379475
"1782",11104,"",15300,1013072,1023931,66.2138562091503,66.9235947712418
"1790",11105,"",19710,1347282,1363443,68.3552511415525,69.1751902587519
"1798",11106,"",22260,1391829,1405997,62.5260107816712,63.1624887690925
"1806",11109,"",3530,700625,710186,198.477337110482,201.185835694051
"1814",11201,"",34880,7714299,7832820,221.16682912844,224.564793577982
"1822",11203,"",37810,1679309,1689297,44.4144141761439,44.6785770960064
"1830",11204,"",33910,1935543,1960225,57.0788263049248,57.8066941905043
"1838",11205,"",19300,1529774,1553365,79.2629015544041,80.4852331606218
"1846",11206,"",38420,1771285,1790862,46.1032014575742,46.612753774076
"1854",11207,"",44210,1650855,1662182,37.3412123953857,37.5974213978738
"1862",11208,"",44880,1586724,1597983,35.3548128342246,35.6056818181818
"1870",11209,"",34490,2811643,2843688,81.5205276891853,82.449637576109
"1878",11210,"",29610,2348707,2382599,79.3214116852415,80.4660249915569
"1886",11211,"",31940,2684922,2720073,84.0614276768942,85.1619599248591
"1894",11212,"",38640,1344174,1351756,34.7871118012422,34.9833333333333
"1902",11213,"",30130,1378248,1391872,45.7433786923332,46.1955526053767
"1910",11214,"",41730,1930773,1951197,46.2682242990654,46.7576563623293
"1918",11215,"",33640,5454584,5548377,162.145778834721,164.933917954816
"1926",11216,"",29940,1830296,1852322,61.1321309285237,61.8678022712091
"1934",11217,"",21280,3143030,3190519,147.698778195489,149.930404135338
"1942",11218,"",33320,2212234,2246384,66.3935774309724,67.418487394958
"1950",11219,"",34030,1635884,1655712,48.0718189832501,48.6544813399941
"1958",11220,"",54190,1748844,1766104,32.2724487912899,32.5909577412807
"1966",11221,"",41950,1958838,1979853,46.6945887961859,47.1955423122765
"1974",11222,"",23590,2098579,2128443,88.9605341246291,90.2264942772361
"1982",11223,"",33540,2556150,2586875,76.2119856887299,77.1280560524747
"1990",11224,"",20250,910704,919921,44.973037037037,45.4281975308642
"1998",11225,"",31290,1755176,1775317,56.0938318951742,56.7375199744327
"2006",11226,"",53290,2466184,2492998,46.2785513229499,46.7817226496528
"2014",11228,"",20180,1336182,1350996,66.2131813676908,66.9472745292369
"2022",11229,"",37650,2423575,2455500,64.371181938911,65.2191235059761
"2030",11230,"",36570,2773769,2817264,75.8482089144107,77.0375717801477
"2038",11231,"",17480,2885921,2932822,165.098455377574,167.781578947368
"2046",11232,"",13030,618142,626253,47.439907904835,48.0623944742901
"2054",11233,"",32940,1471332,1484058,44.6670309653916,45.0533697632058
"2062",11234,"",42920,3023834,3051255,70.4527958993476,71.0916821994408
"2070",11235,"",40280,2567055,2598614,63.7302631578947,64.5137537239325
"2078",11236,"",48540,2301827,2313737,47.4212402142563,47.6666048619695
"2086",11237,"",24290,1030147,1043201,42.410333470564,42.9477562783038
"2094",11238,"",32190,3353662,3402517,104.183348866107,105.701056228642
"2102",11239,"",7640,322447,324040,42.2051047120419,42.413612565445
"2110",11354,"",32200,1299395,1317420,40.3538819875776,40.9136645962733
"2118",11355,"",52700,1610782,1633647,30.5651233396584,30.9989943074004
"2126",11356,"",12690,589237,595198,46.4331757289204,46.9029156816391
"2134",11357,"",20400,1898492,1917746,93.0633333333333,94.0071568627451
"2142",11358,"",19720,1220462,1236275,61.8895537525355,62.691430020284
"2150",11360,"",10210,1004624,1016367,98.3960822722821,99.5462291870715
"2158",11361,"",14080,1014165,1025078,72.0287642045455,72.8038352272727
"2166",11362,"",9010,774948,784422,86.0097669256382,87.0612652608213
"2174",11363,"",3500,458581,465774,131.023142857143,133.078285714286
"2182",11364,"",18210,1300224,1314794,71.401647446458,72.2017572762219
"2190",11365,"",21920,1279603,1293240,58.376049270073,58.9981751824818
"2198",11366,"",6840,490003,495794,71.637865497076,72.4845029239766
"2206",11367,"",19160,1312965,1330225,68.526356993737,69.4271920668058
"2214",11368,"",48750,1609584,1625151,33.0171076923077,33.3364307692308
"2222",11369,"",18090,732524,738675,40.4933112216694,40.8333333333333
"2230",11370,"",13490,687350,693768,50.9525574499629,51.4283172720534
"2238",11372,"",35250,1791324,1813457,50.8177021276596,51.4455886524823
"2246",11373,"",51510,1951391,1971691,37.8837313143079,38.2778295476607
"2254",11374,"",23480,1606102,1622472,68.4029812606474,69.1001703577513
"2262",11375,"",35890,3714463,3760336,103.495764837002,104.773920312065
"2270",11377,"",46020,2133352,2155408,46.3570621468927,46.8363320295524
"2278",11378,"",17950,1034753,1044085,57.6464066852368,58.166295264624
"2286",11379,"",18080,1335108,1345313,73.8444690265487,74.4089048672566
"2294",11385,"",49780,2525905,2550289,50.7413619927682,51.2311972679791
"2302",11411,"",10870,604233,607133,55.5872125114995,55.8540018399264
"2310",11412,"",19770,945365,950074,47.8181588265048,48.0563480020233
"2318",11413,"",21840,1147871,1153460,52.558195970696,52.8141025641026
"2326",11414,"",13490,1018439,1026001,75.4958487768718,76.0564121571534
"2334",11415,"",9690,706738,714717,72.934778121775,73.7582043343653
"2342",11416,"",12800,490762,495106,38.34078125,38.68015625
"2350",11417,"",15220,724600,729707,47.6084099868594,47.9439553219448
"2358",11418,"",18030,840143,848153,46.5969495285635,47.0412090959512
"2366",11419,"",24330,924466,933049,37.996958487464,38.3497328401151
"2374",11420,"",23820,1069765,1078219,44.9103694374475,45.2652812762385
"2382",11421,"",20930,921337,928241,44.0199235547062,44.3497849976111
"2390",11422,"",16680,876114,880545,52.5248201438849,52.7904676258993
"2398",11423,"",15440,812347,819693,52.6131476683938,53.0889248704663
"2406",11426,"",9400,626861,632446,66.6873404255319,67.2814893617021
"2414",11427,"",11900,754242,761140,63.3816806722689,63.9613445378151
"2422",11428,"",10120,515246,518857,50.9136363636364,51.2704545454545
"2430",11429,"",13420,633574,636865,47.2111773472429,47.4564083457526
"2438",11432,"",28240,1430777,1448286,50.6649079320113,51.2849150141643
"2446",11433,"",17010,673077,677207,39.5694885361552,39.8122868900647
"2454",11434,"",33550,1548972,1556969,46.1690611028316,46.4074217585693
"2462",11435,"",26950,1225636,1235628,45.4781447124304,45.848905380334
"2470",11436,"",9950,435964,438647,43.8154773869347,44.0851256281407
"2478",11501,"",11100,1024612,1035076,92.3073873873874,93.2500900900901
"2486",11507,"",3870,528308,535871,136.513695090439,138.467958656331
"2494",11509,"",1300,293362,298981,225.663076923077,229.985384615385
"2502",11510,"",18470,1463746,1474957,79.2499187872225,79.8569030860855
"2510",11514,"",2550,236242,238129,92.6439215686274,93.3839215686275
"2518",11516,"",3290,517908,527952,157.418844984802,160.471732522796
"2526",11518,"",5780,705514,713773,122.06124567474,123.490138408305
"2534",11520,"",24690,1354118,1363902,54.8447954637505,55.2410692588092
"2542",11530,"",14690,4564212,4617631,310.701974132063,314.338393464942
"2550",11542,"",13870,1216137,1231267,87.6811103100216,88.7719538572458
"2558",11545,"",6030,2288152,2315531,379.46135986733,384.001824212272
"2566",11548,"",690,125254,126587,181.527536231884,183.459420289855
"2574",11550,"",29430,1308715,1317706,44.4687393815834,44.7742439687394
"2582",11552,"",13210,1120027,1134178,84.7862982588948,85.8575321725965
"2590",11553,"",14820,682465,686675,46.0502699055331,46.3343454790823
"2598",11554,"",19830,1748203,1765121,88.159505799294,89.0126575895108
"2606",11557,"",4090,883936,900880,216.121271393643,220.264058679707
"2614",11558,"",4430,356650,360166,80.5079006772009,81.3015801354402
"2622",11559,"",3850,1156620,1176041,300.420779220779,305.465194805195
"2630",11560,"",3390,1299186,1309045,383.240707964602,386.148967551622
"2638",11561,"",19540,2126990,2155571,108.853121801433,110.315813715455
"2646",11563,"",11750,1087297,1096911,92.535914893617,93.3541276595745
"2654",11565,"",4750,544929,551129,114.721894736842,116.027157894737
"2662",11566,"",18480,2454324,2491492,132.80974025974,134.820995670996
"2670",11568,"",1680,1128745,1141790,671.872023809524,679.636904761905
"2678",11570,"",14500,2364222,2397256,163.049793103448,165.328
"2686",11572,"",16230,1649304,1669840,101.620702402957,102.886013555145
"2694",11575,"",9510,401617,404089,42.2310199789695,42.4909568874869
"2702",11576,"",6360,2085660,2129362,327.933962264151,334.80534591195
"2710",11577,"",6000,1218852,1242343,203.142,207.057166666667
"2718",11579,"",2600,414263,422295,159.331923076923,162.421153846154
"2726",11580,"",22720,1596769,1608815,70.2803257042253,70.8105193661972
"2734",11581,"",11130,1030283,1043798,92.5681042228212,93.7823899371069
"2742",11590,"",26230,1904218,1921697,72.5969500571864,73.2633244376668
"2750",11596,"",5520,746164,756217,135.174637681159,136.995833333333
"2758",11598,"",5790,1303015,1333483,225.045768566494,230.307944732297
"2766",11691,"",23300,1033194,1045033,44.3430901287554,44.8512017167382
"2774",11692,"",9060,393888,396464,43.4754966887417,43.7598233995585
"2782",11693,"",5850,319792,322170,54.6652991452991,55.0717948717949
"2790",11694,"",8990,850523,858791,94.6076751946607,95.5273637374861
"2798",11697,"",2360,253659,255756,107.482627118644,108.371186440678
"2806",11701,"",15040,941669,950906,62.6109707446808,63.2251329787234
"2814",11702,"",7860,921425,931970,117.229643765903,118.571246819338
"2822",11703,"",9510,669660,674362,70.416403785489,70.9108307045216
"2830",11704,"",21270,1403722,1413665,65.9953925716972,66.4628584861307
"2838",11705,"",4180,489239,494917,117.042822966507,118.401196172249
"2846",11706,"",33540,2048803,2065353,61.0853607632677,61.578801431127
"2854",11709,"",3580,393634,398740,109.953631284916,111.379888268156
"2862",11710,"",18150,1971058,1995211,108.598236914601,109.928980716253
"2870",11713,"",5520,393048,397185,71.204347826087,71.9538043478261
"2878",11714,"",12490,1043267,1051647,83.5281825460368,84.1991192954363
"2886",11715,"",2390,253457,256092,106.048953974895,107.151464435146
"2894",11716,"",5600,469443,473235,83.8291071428571,84.50625
"2902",11717,"",32880,1323102,1329640,40.2403284671533,40.4391727493917
"2910",11718,"",1730,283662,287773,163.966473988439,166.342774566474
"2918",11719,"",1610,176531,178358,109.646583850932,110.781366459627
"2926",11720,"",14860,1133785,1142335,76.2977792732167,76.8731493943472
"2934",11721,"",3410,550971,559836,161.575073313783,164.174780058651
"2942",11722,"",19820,903924,908731,45.6066599394551,45.8491927346115
"2950",11724,"",1660,581312,591963,350.187951807229,356.60421686747
"2958",11725,"",14920,1698157,1719012,113.817493297587,115.21528150134
"2966",11726,"",11370,570205,574677,50.1499560246262,50.54327176781
"2974",11727,"",15200,1014515,1021975,66.7444078947368,67.2351973684211
"2982",11729,"",15310,1034775,1041920,67.588177661659,68.0548661005878
"2990",11730,"",7730,788726,795981,102.034411384217,102.972962483829
"2998",11731,"",15780,1645843,1665653,104.299302915082,105.554689480355
"3006",11732,"",1910,303914,307243,159.117277486911,160.860209424084
"3014",11733,"",8790,2471431,2493306,281.16393629124,283.652559726962
"3022",11735,"",17880,1575653,1589206,88.1237695749441,88.8817673378076
"3030",11738,"",8640,625932,630706,72.4458333333333,72.9983796296296
"3038",11740,"",4830,595427,602816,123.276811594203,124.806625258799
"3046",11741,"",14670,1207425,1217311,82.3057259713701,82.9796182685753
"3054",11742,"",6950,584092,588673,84.0420143884892,84.7011510791367
"3062",11743,"",22540,3887816,3953853,172.485181898846,175.41495119787
"3070",11746,"",34670,3728345,3785699,107.538073262186,109.192356504182
"3078",11747,"",11330,2582382,2617028,227.92427184466,230.982171226831
"3086",11749,"",1860,117812,119045,63.3397849462366,64.002688172043
"3094",11751,"",7900,740086,747147,93.6817721518987,94.5755696202532
"3102",11752,"",5420,402766,405716,74.3110701107011,74.8553505535055
"3110",11753,"",6250,1463585,1488096,234.1736,238.09536
"3118",11754,"",9790,952140,962683,97.2563840653728,98.3332992849847
"3126",11755,"",6300,588943,594816,93.4830158730159,94.4152380952381
"3134",11756,"",22970,1792178,1804692,78.0225511536787,78.5673487157162
"3142",11757,"",23950,1617464,1630925,67.5350313152401,68.0970772442589
"3150",11758,"",29450,3445028,3476649,116.978879456706,118.05259762309
"3158",11762,"",11890,1350393,1362296,113.573843566022,114.574936921783
"3166",11763,"",14980,1010927,1018395,67.4851134846462,67.9836448598131
"3174",11764,"",6370,738604,747071,115.950392464678,117.279591836735
"3182",11765,"",350,319665,321908,913.328571428571,919.737142857143
"3190",11766,"",6140,763967,773569,124.424592833876,125.988436482085
"3198",11767,"",7380,771038,778156,104.476693766938,105.441192411924
"3206",11768,"",11230,1812514,1840164,161.39928762244,163.861442564559
"3214",11769,"",5120,514504,518976,100.4890625,101.3625
"3222",11771,"",5230,1540294,1559215,294.511281070746,298.129063097514
"3230",11772,"",23020,1594177,1607040,69.2518245004344,69.8105994787142
"3238",11776,"",12500,904026,912080,72.32208,72.9664
"3246",11777,"",4850,819962,830024,169.064329896907,171.138969072165
"3254",11778,"",6430,493025,496840,76.6757387247278,77.2690513219285
"3262",11779,"",19750,1480245,1490916,74.9491139240506,75.489417721519
"3270",11780,"",8090,1951007,1968047,241.162793572312,243.269097651422
"3278",11782,"",8210,882443,890583,107.483922046285,108.475395858709
"3286",11783,"",11400,1183702,1195042,103.83350877193,104.828245614035
"3294",11784,"",12670,816408,821930,64.4363062352013,64.872138910813
"3302",11786,"",3170,357580,361423,112.801261829653,114.01356466877
"3310",11787,"",17820,2179997,2203005,122.334287317621,123.625420875421
